TAI;TEI;LAD;TIO;QIS;QIO;OTI;TEO;ICC1;ICC2;ICC3
M;G;A;G;M;3;1;G;1 4 7 10 19 28;37 40 43 46 55 64;37 40 43 46 55 64
M;G;A;G;M;3;1;G;10 13 16 19 28 1;82 85 88 91 100;82 85 88 91 100
M;G;A;G;M;3;1;G;19 22 25 28 1 10;127 130 133 136 109;127 130 133 136 109
M;G;A;G;M;3;1;G;28 31 34 1 10 19;64 67 70 37 46;64 67 70 37 46
M;G;A;G;M;3;1;G;2 5 8 11 20 29;74 77 80 83 92;74 77 80 83 92
M;G;A;G;M;3;1;G;11 14 17 20 29 2;119 122 125 128 137;119 122 125 128 137
M;G;A;G;M;3;1;G;20 23 26 29 2 11;56 59 62 65 38;56 59 62 65 38
M;G;A;G;M;3;1;G;29 32 35 2 11 20;101 104 107 74 83;101 104 107 74 83
M;G;A;G;M;3;1;G;3 6 9 12 21 30;111 114 117 120 129;111 114 117 120 129
M;G;A;G;M;3;1;G;12 15 18 21 30 3;48 51 54 57 66;48 51 54 57 66
M;G;A;G;M;3;1;G;21 24 27 30 3 12;93 96 99 102 75;93 96 99 102 75
M;G;A;G;M;3;1;G;30 33 36 3 12 21;138 141 144 111 120;138 141 144 111 120
M;G;A;G;M;3;2;G;1 4 7 10 19 28;37 40 43 46 55 64;37 40 43 46 55 64
M;G;A;G;M;3;2;G;10 13 16 19 28 1;82 85 88 91 100;82 85 88 91 100
M;G;A;G;M;3;2;G;19 22 25 28 1 10;127 130 133 136 109;127 130 133 136 109
M;G;A;G;M;3;2;G;28 31 34 1 10 19;64 67 70 37 46;64 67 70 37 46
M;G;A;G;M;3;2;G;2 5 8 11 20 29;74 77 80 83 92;74 77 80 83 92
M;G;A;G;M;3;2;G;11 14 17 20 29 2;119 122 125 128 137;119 122 125 128 137
M;G;A;G;M;3;2;G;20 23 26 29 2 11;56 59 62 65 38;56 59 62 65 38
M;G;A;G;M;3;2;G;29 32 35 2 11 20;101 104 107 74 83;101 104 107 74 83
M;G;A;G;M;3;2;G;3 6 9 12 21 30;111 114 117 120 129;111 114 117 120 129
M;G;A;G;M;3;2;G;12 15 18 21 30 3;48 51 54 57 66;48 51 54 57 66
M;G;A;G;M;3;2;G;21 24 27 30 3 12;93 96 99 102 75;93 96 99 102 75
M;G;A;G;M;3;2;G;30 33 36 3 12 21;138 141 144 111 120;138 141 144 111 120
M;G;A;M;M;3;1;G;1 4 7 10 19 28 2 5;37 40 43 46 55 64 38;37 40 43 46 55 64 38
P;G;A;M;G;3;1;G;10 13 16 19 28 1 11 14;82 85 88 91 100 73 83;82 85 88 91 100 73 83
P;G;A;M;G;3;1;G;19 22 25 28 1 10 20 23;127 130 133 136 109 118 128;127 130 133 136 109 118 128
P;G;A;M;G;3;1;G;28 31 34 1 10 19 29 32;64 67 70 37 46 55 65;64 67 70 37 46 55 65
P;G;A;M;G;3;1;G;2 5 8 11 20 29 3 6;74 77 80 83 92 101 75;74 77 80 83 92 101 75
P;G;A;M;G;3;1;G;11 14 17 20 29 2 12 15;119 122 125 128 137 110 120;119 122 125 128 137 110 120
P;G;A;M;G;3;1;G;20 23 26 29 2 11 21 24;56 59 62 65 38 47 57;56 59 62 65 38 47 57
P;G;A;M;G;3;1;G;29 32 35 2 11 20 30 33;101 104 107 74 83 92 102;101 104 107 74 83 92 102
P;G;A;M;G;3;1;G;3 6 9 12 21 30 4 7;111 114 117 120 129 138 112;111 114 117 120 129 138 112
P;G;A;M;G;3;1;G;12 15 18 21 30 3 13 16;48 51 54 57 66 39 49;48 51 54 57 66 39 49
P;G;A;M;G;3;1;G;21 24 27 30 3 12 22 25;93 96 99 102 75 84 94;93 96 99 102 75 84 94
P;G;A;M;G;3;1;G;30 33 36 3 12 21 31 34;138 141 144 111 120 129 139;138 141 144 111 120 129 139
P;G;A;M;G;3;2;G;1 4 7 10 19 28 2 5;37 40 43 46 55 64 38;37 40 43 46 55 64 38
P;G;A;M;G;3;2;G;10 13 16 19 28 1 11 14;82 85 88 91 100 73 83;82 85 88 91 100 73 83
P;G;A;M;G;3;2;G;19 22 25 28 1 10 20 23;127 130 133 136 109 118 128;127 130 133 136 109 118 128
P;G;A;M;G;3;2;G;28 31 34 1 10 19 29 32;64 67 70 37 46 55 65;64 67 70 37 46 55 65
P;G;A;M;G;3;2;G;2 5 8 11 20 29 3 6;74 77 80 83 92 101 75;74 77 80 83 92 101 75
P;G;A;M;G;3;2;G;11 14 17 20 29 2 12 15;119 122 125 128 137 110 120;119 122 125 128 137 110 120
P;G;A;M;G;3;2;G;20 23 26 29 2 11 21 24;56 59 62 65 38 47 57;56 59 62 65 38 47 57
P;G;A;M;G;3;2;G;29 32 35 2 11 20 30 33;101 104 107 74 83 92 102;101 104 107 74 83 92 102
P;G;A;M;G;3;2;G;3 6 9 12 21 30 4 7;111 114 117 120 129 138 112;111 114 117 120 129 138 112
P;G;A;M;G;3;2;G;12 15 18 21 30 3 13 16;48 51 54 57 66 39 49;48 51 54 57 66 39 49
P;G;A;M;G;3;2;G;21 24 27 30 3 12 22 25;93 96 99 102 75 84 94;93 96 99 102 75 84 94
P;G;A;M;G;3;2;G;30 33 36 3 12 21 31 34;138 141 144 111 120 129 139;138 141 144 111 120 129 139
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
