ID;Descrição da Imagem;arquivo;Conjunto Som Associado
1;GeometricosPB-Circulo-Pequeno-BordaFina-Preto;GeometricosPB/Circulo-P-BF-Preto.png;1
2;GeometricosPB-Circulo-Pequeno-BordaGrossa-Preto;GeometricosPB/Circulo-P-BG-Preto.png;1
3;GeometricosPB-Circulo-Pequeno-BordaPreenchida-Preto;GeometricosPB/Circulo-P-BP-Preto.png;1
4;GeometricosPB-Circulo-Medio-BordaFina-Preto;GeometricosPB/Circulo-M-BF-Preto.png;1
5;GeometricosPB-Circulo-Medio-BordaGrossa-Preto;GeometricosPB/Circulo-M-BG-Preto.png;1
6;GeometricosPB-Circulo-Medio-BordaPreenchida-Preto;GeometricosPB/Circulo-M-BP-Preto.png;1
7;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB/Circulo-G-BF-Preto.png;1
8;GeometricosPB-Circulo-Grande-BordaGrossa-Preto;GeometricosPB/Circulo-G-BG-Preto.png;1
9;GeometricosPB-Circulo-Grande-BordaPreenchida-Preto;GeometricosPB/Circulo-G-BP-Preto.png;1
10;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB/Quadrado-P-BF-Preto.png;1
11;GeometricosPB-Quadrado-Pequeno-BordaGrossa-Preto;GeometricosPB/Quadrado-P-BG-Preto.png;1
12;GeometricosPB-Quadrado-Pequeno-BordaPreenchida-Preto;GeometricosPB/Quadrado-P-BP-Preto.png;1
13;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB/Quadrado-M-BF-Preto.png;1
14;GeometricosPB-Quadrado-Medio-BordaGrossa-Preto;GeometricosPB/Quadrado-M-BG-Preto.png;1
15;GeometricosPB-Quadrado-Medio-BordaPreenchida-Preto;GeometricosPB/Quadrado-M-BP-Preto.png;1
16;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB/Quadrado-G-BF-Preto.png;1
17;GeometricosPB-Quadrado-Grande-BordaGrossa-Preto;GeometricosPB/Quadrado-G-BG-Preto.png;1
18;GeometricosPB-Quadrado-Grande-BordaPreenchida-Preto;GeometricosPB/Quadrado-G-BP-Preto.png;1
19;GeometricosPB-Triangulo-Pequeno-BordaFina-Preto;GeometricosPB/Triangulo-P-BF-Preto.png;1
20;GeometricosPB-Triangulo-Pequeno-BordaGrossa-Preto;GeometricosPB/Triangulo-P-BG-Preto.png;1
21;GeometricosPB-Triangulo-Pequeno-BordaPreenchida-Preto;GeometricosPB/Triangulo-P-BP-Preto.png;1
22;GeometricosPB-Triangulo-Medio-BordaFina-Preto;GeometricosPB/Triangulo-M-BF-Preto.png;1
23;GeometricosPB-Triangulo-Medio-BordaGrossa-Preto;GeometricosPB/Triangulo-M-BG-Preto.png;1
24;GeometricosPB-Triangulo-Medio-BordaPreenchida-Preto;GeometricosPB/Triangulo-M-BP-Preto.png;1
25;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB/Triangulo-G-BF-Preto.png;1
26;GeometricosPB-Triangulo-Grande-BordaGrossa-Preto;GeometricosPB/Triangulo-G-BG-Preto.png;1
27;GeometricosPB-Triangulo-Grande-BordaPreenchida-Preto;GeometricosPB/Triangulo-G-BP-Preto.png;1
28;GeometricosPB-Retangulo-Pequeno-BordaFina-Preto;GeometricosPB/Retangulo-P-BF-Preto.png;1
29;GeometricosPB-Retangulo-Pequeno-BordaGrossa-Preto;GeometricosPB/Retangulo-P-BG-Preto.png;1
30;GeometricosPB-Retangulo-Pequeno-BordaPreenchida-Preto;GeometricosPB/Retangulo-P-BP-Preto.png;1
31;GeometricosPB-Retangulo-Medio-BordaFina-Preto;GeometricosPB/Retangulo-M-BF-Preto.png;1
32;GeometricosPB-Retangulo-Medio-BordaGrossa-Preto;GeometricosPB/Retangulo-M-BG-Preto.png;1
33;GeometricosPB-Retangulo-Medio-BordaPreenchida-Preto;GeometricosPB/Retangulo-M-BP-Preto.png;1
34;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB/Retangulo-G-BF-Preto.png;1
35;GeometricosPB-Retangulo-Grande-BordaGrossa-Preto;GeometricosPB/Retangulo-G-BG-Preto.png;1
36;GeometricosPB-Retangulo-Grande-BordaPreenchida-Preto;GeometricosPB/Retangulo-G-BP-Preto.png;1
37;GeometricosCL-Circulo-Pequeno-BordaFina-Amarelo;GeometricosCL/Circulo-P-BF-Amarelo.png;1
38;GeometricosCL-Circulo-Pequeno-BordaGrossa-Amarelo;GeometricosCL/Circulo-P-BG-Amarelo.png;1
39;GeometricosCL-Circulo-Pequeno-BordaPreenchida-Amarelo;GeometricosCL/Circulo-P-BP-Amarelo.png;1
40;GeometricosCL-Circulo-Medio-BordaFina-Amarelo;GeometricosCL/Circulo-M-BF-Amarelo.png;1
41;GeometricosCL-Circulo-Medio-BordaGrossa-Amarelo;GeometricosCL/Circulo-M-BG-Amarelo.png;1
42;GeometricosCL-Circulo-Medio-BordaPreenchida-Amarelo;GeometricosCL/Circulo-M-BP-Amarelo.png;1
43;GeometricosCL-Circulo-Grande-BordaFina-Amarelo;GeometricosCL/Circulo-G-BF-Amarelo.png;1
44;GeometricosCL-Circulo-Grande-BordaGrossa-Amarelo;GeometricosCL/Circulo-G-BG-Amarelo.png;1
45;GeometricosCL-Circulo-Grande-BordaPreenchida-Amarelo;GeometricosCL/Circulo-G-BP-Amarelo.png;1
46;GeometricosCL-Quadrado-Pequeno-BordaFina-Amarelo;GeometricosCL/Quadrado-P-BF-Amarelo.png;1
47;GeometricosCL-Quadrado-Pequeno-BordaGrossa-Amarelo;GeometricosCL/Quadrado-P-BG-Amarelo.png;1
48;GeometricosCL-Quadrado-Pequeno-BordaPreenchida-Amarelo;GeometricosCL/Quadrado-P-BP-Amarelo.png;1
49;GeometricosCL-Quadrado-Medio-BordaFina-Amarelo;GeometricosCL/Quadrado-M-BF-Amarelo.png;1
50;GeometricosCL-Quadrado-Medio-BordaGrossa-Amarelo;GeometricosCL/Quadrado-M-BG-Amarelo.png;1
51;GeometricosCL-Quadrado-Medio-BordaPreenchida-Amarelo;GeometricosCL/Quadrado-M-BP-Amarelo.png;1
52;GeometricosCL-Quadrado-Grande-BordaFina-Amarelo;GeometricosCL/Quadrado-G-BF-Amarelo.png;1
53;GeometricosCL-Quadrado-Grande-BordaGrossa-Amarelo;GeometricosCL/Quadrado-G-BG-Amarelo.png;1
54;GeometricosCL-Quadrado-Grande-BordaPreenchida-Amarelo;GeometricosCL/Quadrado-G-BP-Amarelo.png;1
55;GeometricosCL-Triangulo-Pequeno-BordaFina-Amarelo;GeometricosCL/Triangulo-P-BF-Amarelo.png;1
56;GeometricosCL-Triangulo-Pequeno-BordaGrossa-Amarelo;GeometricosCL/Triangulo-P-BG-Amarelo.png;1
57;GeometricosCL-Triangulo-Pequeno-BordaPreenchida-Amarelo;GeometricosCL/Triangulo-P-BP-Amarelo.png;1
58;GeometricosCL-Triangulo-Medio-BordaFina-Amarelo;GeometricosCL/Triangulo-M-BF-Amarelo.png;1
59;GeometricosCL-Triangulo-Medio-BordaGrossa-Amarelo;GeometricosCL/Triangulo-M-BG-Amarelo.png;1
60;GeometricosCL-Triangulo-Medio-BordaPreenchida-Amarelo;GeometricosCL/Triangulo-M-BP-Amarelo.png;1
61;GeometricosCL-Triangulo-Grande-BordaFina-Amarelo;GeometricosCL/Triangulo-G-BF-Amarelo.png;1
62;GeometricosCL-Triangulo-Grande-BordaGrossa-Amarelo;GeometricosCL/Triangulo-G-BG-Amarelo.png;1
63;GeometricosCL-Triangulo-Grande-BordaPreenchida-Amarelo;GeometricosCL/Triangulo-G-BP-Amarelo.png;1
64;GeometricosCL-Retangulo-Pequeno-BordaFina-Amarelo;GeometricosCL/Retangulo-P-BF-Amarelo.png;1
65;GeometricosCL-Retangulo-Pequeno-BordaGrossa-Amarelo;GeometricosCL/Retangulo-P-BG-Amarelo.png;1
66;GeometricosCL-Retangulo-Pequeno-BordaPreenchida-Amarelo;GeometricosCL/Retangulo-P-BP-Amarelo.png;1
67;GeometricosCL-Retangulo-Medio-BordaFina-Amarelo;GeometricosCL/Retangulo-M-BF-Amarelo.png;1
68;GeometricosCL-Retangulo-Medio-BordaGrossa-Amarelo;GeometricosCL/Retangulo-M-BG-Amarelo.png;1
69;GeometricosCL-Retangulo-Medio-BordaPreenchida-Amarelo;GeometricosCL/Retangulo-M-BP-Amarelo.png;1
70;GeometricosCL-Retangulo-Grande-BordaFina-Amarelo;GeometricosCL/Retangulo-G-BF-Amarelo.png;1
71;GeometricosCL-Retangulo-Grande-BordaGrossa-Amarelo;GeometricosCL/Retangulo-G-BG-Amarelo.png;1
72;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;GeometricosCL/Retangulo-G-BP-Amarelo.png;1
73;GeometricosCL-Circulo-Pequeno-BordaFina-Azul;GeometricosCL/Circulo-P-BF-Azul.png;1
74;GeometricosCL-Circulo-Pequeno-BordaGrossa-Azul;GeometricosCL/Circulo-P-BG-Azul.png;1
75;GeometricosCL-Circulo-Pequeno-BordaPreenchida-Azul;GeometricosCL/Circulo-P-BP-Azul.png;1
76;GeometricosCL-Circulo-Medio-BordaFina-Azul;GeometricosCL/Circulo-M-BF-Azul.png;1
77;GeometricosCL-Circulo-Medio-BordaGrossa-Azul;GeometricosCL/Circulo-M-BG-Azul.png;1
78;GeometricosCL-Circulo-Medio-BordaPreenchida-Azul;GeometricosCL/Circulo-M-BP-Azul.png;1
79;GeometricosCL-Circulo-Grande-BordaFina-Azul;GeometricosCL/Circulo-G-BF-Azul.png;1
80;GeometricosCL-Circulo-Grande-BordaGrossa-Azul;GeometricosCL/Circulo-G-BG-Azul.png;1
81;GeometricosCL-Circulo-Grande-BordaPreenchida-Azul;GeometricosCL/Circulo-G-BP-Azul.png;1
82;GeometricosCL-Quadrado-Pequeno-BordaFina-Azul;GeometricosCL/Quadrado-P-BF-Azul.png;1
83;GeometricosCL-Quadrado-Pequeno-BordaGrossa-Azul;GeometricosCL/Quadrado-P-BG-Azul.png;1
84;GeometricosCL-Quadrado-Pequeno-BordaPreenchida-Azul;GeometricosCL/Quadrado-P-BP-Azul.png;1
85;GeometricosCL-Quadrado-Medio-BordaFina-Azul;GeometricosCL/Quadrado-M-BF-Azul.png;1
86;GeometricosCL-Quadrado-Medio-BordaGrossa-Azul;GeometricosCL/Quadrado-M-BG-Azul.png;1
87;GeometricosCL-Quadrado-Medio-BordaPreenchida-Azul;GeometricosCL/Quadrado-M-BP-Azul.png;1
88;GeometricosCL-Quadrado-Grande-BordaFina-Azul;GeometricosCL/Quadrado-G-BF-Azul.png;1
89;GeometricosCL-Quadrado-Grande-BordaGrossa-Azul;GeometricosCL/Quadrado-G-BG-Azul.png;1
90;GeometricosCL-Quadrado-Grande-BordaPreenchida-Azul;GeometricosCL/Quadrado-G-BP-Azul.png;1
91;GeometricosCL-Triangulo-Pequeno-BordaFina-Azul;GeometricosCL/Triangulo-P-BF-Azul.png;1
92;GeometricosCL-Triangulo-Pequeno-BordaGrossa-Azul;GeometricosCL/Triangulo-P-BG-Azul.png;1
93;GeometricosCL-Triangulo-Pequeno-BordaPreenchida-Azul;GeometricosCL/Triangulo-P-BP-Azul.png;1
94;GeometricosCL-Triangulo-Medio-BordaFina-Azul;GeometricosCL/Triangulo-M-BF-Azul.png;1
95;GeometricosCL-Triangulo-Medio-BordaGrossa-Azul;GeometricosCL/Triangulo-M-BG-Azul.png;1
96;GeometricosCL-Triangulo-Medio-BordaPreenchida-Azul;GeometricosCL/Triangulo-M-BP-Azul.png;1
97;GeometricosCL-Triangulo-Grande-BordaFina-Azul;GeometricosCL/Triangulo-G-BF-Azul.png;1
98;GeometricosCL-Triangulo-Grande-BordaGrossa-Azul;GeometricosCL/Triangulo-G-BG-Azul.png;1
99;GeometricosCL-Triangulo-Grande-BordaPreenchida-Azul;GeometricosCL/Triangulo-G-BP-Azul.png;1
100;GeometricosCL-Retangulo-Pequeno-BordaFina-Azul;GeometricosCL/Retangulo-P-BF-Azul.png;1
101;GeometricosCL-Retangulo-Pequeno-BordaGrossa-Azul;GeometricosCL/Retangulo-P-BG-Azul.png;1
102;GeometricosCL-Retangulo-Pequeno-BordaPreenchida-Azul;GeometricosCL/Retangulo-P-BP-Azul.png;1
103;GeometricosCL-Retangulo-Medio-BordaFina-Azul;GeometricosCL/Retangulo-M-BF-Azul.png;1
104;GeometricosCL-Retangulo-Medio-BordaGrossa-Azul;GeometricosCL/Retangulo-M-BG-Azul.png;1
105;GeometricosCL-Retangulo-Medio-BordaPreenchida-Azul;GeometricosCL/Retangulo-M-BP-Azul.png;1
106;GeometricosCL-Retangulo-Grande-BordaFina-Azul;GeometricosCL/Retangulo-G-BF-Azul.png;1
107;GeometricosCL-Retangulo-Grande-BordaGrossa-Azul;GeometricosCL/Retangulo-G-BG-Azul.png;1
108;GeometricosCL-Retangulo-Grande-BordaPreenchida-Azul;GeometricosCL/Retangulo-G-BP-Azul.png;1
109;GeometricosCL-Circulo-Pequeno-BordaFina-Vermelho;GeometricosCL/Circulo-P-BF-Vermelho.png;1
110;GeometricosCL-Circulo-Pequeno-BordaGrossa-Vermelho;GeometricosCL/Circulo-P-BG-Vermelho.png;1
111;GeometricosCL-Circulo-Pequeno-BordaPreenchida-Vermelho;GeometricosCL/Circulo-P-BP-Vermelho.png;1
112;GeometricosCL-Circulo-Medio-BordaFina-Vermelho;GeometricosCL/Circulo-M-BF-Vermelho.png;1
113;GeometricosCL-Circulo-Medio-BordaGrossa-Vermelho;GeometricosCL/Circulo-M-BG-Vermelho.png;1
114;GeometricosCL-Circulo-Medio-BordaPreenchida-Vermelho;GeometricosCL/Circulo-M-BP-Vermelho.png;1
115;GeometricosCL-Circulo-Grande-BordaFina-Vermelho;GeometricosCL/Circulo-G-BF-Vermelho.png;1
116;GeometricosCL-Circulo-Grande-BordaGrossa-Vermelho;GeometricosCL/Circulo-G-BG-Vermelho.png;1
117;GeometricosCL-Circulo-Grande-BordaPreenchida-Vermelho;GeometricosCL/Circulo-G-BP-Vermelho.png;1
118;GeometricosCL-Quadrado-Pequeno-BordaFina-Vermelho;GeometricosCL/Quadrado-P-BF-Vermelho.png;1
