# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Linha Escolhida;Imagem Objetivo;Imagem Tocada;Tempo de Toque;Acao;Pontos Motor;Pontos Cognitivo
1;26/09/2018;20:49:50;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
1;26/09/2018;20:49:55;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;1;Acertou;4;5
1;26/09/2018;20:50:01;Classificacao;1;1;4;GeometricosPB-Retangulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;0;Acertou;5;5
1;26/09/2018;20:50:10;Classificacao;1;1;1;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
1;26/09/2018;20:50:15;Classificacao;1;1;1;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
1;26/09/2018;20:50:20;Classificacao;1;1;1;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
1;26/09/2018;20:50:31;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
1;26/09/2018;20:50:38;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;3;Acertou;2;5
1;26/09/2018;20:50:43;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Errou;4;0
1;26/09/2018;20:50:49;Classificacao;1;1;2;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
1;26/09/2018;20:51:00;Classificacao;1;1;3;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;2;Acertou;3;5
1;26/09/2018;20:51:05;Classificacao;1;1;3;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;0;Acertou;5;5
1;26/09/2018;20:51:09;Classificacao;1;1;3;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;0;Acertou;5;5
1;26/09/2018;20:51:21;Classificacao;1;2;6;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Acertou;4;5
1;26/09/2018;20:51:25;Classificacao;1;2;6;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Acertou;4;5
1;26/09/2018;20:51:30;Classificacao;1;2;6;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;GeometricosPB-Quadrado-Pequeno-BordaFina-Preto;1;Acertou;4;5
