# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Linha Escolhida;Imagem Objetivo;Imagem Tocada;Tempo de Toque;Acao;Pontos Motor;Pontos Cognitivo
1;21/09/2018;14:14:18;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;5;Acertou;1;5
1;21/09/2018;14:14:26;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;4;Errou;1;0
1;21/09/2018;14:14:32;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;2;Errou;3;0
1;21/09/2018;14:14:39;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Errou;3;0
1;21/09/2018;14:14:45;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;2;Errou;3;0
2;21/09/2018;14:25:09;Classificacao;1;1;45;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
2;21/09/2018;14:25:14;Classificacao;1;1;45;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Errou;4;0
2;21/09/2018;14:25:19;Classificacao;1;1;45;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
2;21/09/2018;14:25:24;Classificacao;1;1;45;GeometricosPB-Triangulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Acertou;4;5
2;21/09/2018;14:25:35;Classificacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
3;21/09/2018;14:29:20;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
4;21/09/2018;14:40:39;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;3;Acertou;2;5
4;21/09/2018;14:40:46;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Retangulo-Grande-BordaFina-Preto;2;Errou;3;0
4;21/09/2018;14:40:51;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Triangulo-Grande-BordaFina-Preto;1;Errou;4;0
4;21/09/2018;14:40:55;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;0;Errou;5;0
5;21/09/2018;14:46:40;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;3;Acertou;2;5
5;21/09/2018;14:46:46;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;2;Acertou;3;5
5;21/09/2018;14:46:52;Sequenciacao;1;1;43;GeometricosPB-Circulo-Grande-BordaFina-Preto;GeometricosPB-Circulo-Grande-BordaFina-Preto;1;Acertou;4;5
5;21/09/2018;14:54:00;Sequenciacao;1;1;44;GeometricosPB-Quadrado-Grande-BordaFina-Preto;GeometricosPB-Quadrado-Grande-BordaFina-Preto;1;Acertou;4;5
