# Sessao;Data de Uso;Hora Inicio;Jogo;Fase;Nivel;Linha Escolhida;Imagem Objetivo;Imagem Tocada;Tempo de Toque;Acao;Pontos Motor;Pontos Cognitivo
1;28/11/2018;15:14:23;Sequenciacao;1;1;1;GeometricosPB-Circulo-Medio-BordaFina-Preto;GeometricosPB-Circulo-Medio-BordaFina-Preto;2;Acertou;3;5
1;28/11/2018;15:14:34;Sequenciacao;1;1;1;GeometricosPB-Circulo-Medio-BordaFina-Preto;Nao tocou;7;Omitiu;0;0
1;28/11/2018;15:14:40;Sequenciacao;1;1;1;GeometricosPB-Circulo-Medio-BordaFina-Preto;GeometricosPB-Quadrado-Medio-BordaFina-Preto;2;Acertou;3;5
1;28/11/2018;15:14:51;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Triangulo-Medio-BordaFina-Preto;3;Errou;2;0
1;28/11/2018;15:14:56;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Circulo-Medio-BordaFina-Preto;1;Errou;4;0
1;28/11/2018;15:15:01;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Quadrado-Medio-BordaFina-Preto;0;Acertou;5;5
1;28/11/2018;15:15:05;Sequenciacao;1;1;2;GeometricosPB-Quadrado-Medio-BordaFina-Preto;GeometricosPB-Circulo-Medio-BordaFina-Preto;0;Acertou;5;5
1;28/11/2018;15:15:14;Sequenciacao;1;1;4;GeometricosPB-Retangulo-Medio-BordaFina-Preto;GeometricosPB-Retangulo-Medio-BordaFina-Preto;1;Acertou;4;5
1;28/11/2018;15:15:19;Sequenciacao;1;1;4;GeometricosPB-Retangulo-Medio-BordaFina-Preto;GeometricosPB-Triangulo-Medio-BordaFina-Preto;1;Acertou;4;5
1;28/11/2018;15:15:28;Sequenciacao;1;1;3;GeometricosPB-Triangulo-Medio-BordaFina-Preto;GeometricosPB-Triangulo-Medio-BordaFina-Preto;1;Acertou;4;5
1;28/11/2018;15:15:33;Sequenciacao;1;1;3;GeometricosPB-Triangulo-Medio-BordaFina-Preto;GeometricosPB-Retangulo-Medio-BordaFina-Preto;1;Acertou;4;5
2;28/11/2018;15:16:16;Sequenciacao;1;8;29;GeometricosCL-Triangulo-Medio-BordaPreenchida-Vermelho;GeometricosCL-Triangulo-Medio-BordaPreenchida-Vermelho;1;Acertou;4;5
2;28/11/2018;15:16:21;Sequenciacao;1;8;29;GeometricosCL-Triangulo-Medio-BordaPreenchida-Vermelho;GeometricosCL-Triangulo-Medio-BordaPreenchida-Amarelo;1;Acertou;4;5
2;28/11/2018;15:16:27;Sequenciacao;1;8;29;GeometricosCL-Triangulo-Medio-BordaPreenchida-Vermelho;GeometricosCL-Triangulo-Medio-BordaPreenchida-Azul;2;Acertou;3;5
2;28/11/2018;15:16:37;Sequenciacao;1;8;32;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;1;Acertou;4;5
2;28/11/2018;15:16:42;Sequenciacao;1;8;32;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;GeometricosCL-Retangulo-Grande-BordaPreenchida-Azul;1;Errou;4;0
2;28/11/2018;15:16:47;Sequenciacao;1;8;32;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;GeometricosCL-Retangulo-Grande-BordaPreenchida-Vermelho;1;Acertou;4;5
2;28/11/2018;15:16:52;Sequenciacao;1;8;32;GeometricosCL-Retangulo-Grande-BordaPreenchida-Amarelo;GeometricosCL-Retangulo-Grande-BordaPreenchida-Azul;1;Acertou;4;5
2;28/11/2018;15:17:01;Sequenciacao;1;8;30;GeometricosCL-Circulo-Medio-BordaPreenchida-Amarelo;GeometricosCL-Circulo-Medio-BordaPreenchida-Amarelo;0;Acertou;5;5
2;28/11/2018;15:17:05;Sequenciacao;1;8;30;GeometricosCL-Circulo-Medio-BordaPreenchida-Amarelo;GeometricosCL-Circulo-Medio-BordaPreenchida-Azul;1;Acertou;4;5
2;28/11/2018;15:17:11;Sequenciacao;1;8;30;GeometricosCL-Circulo-Medio-BordaPreenchida-Amarelo;GeometricosCL-Circulo-Medio-BordaPreenchida-Vermelho;1;Acertou;4;5
2;28/11/2018;15:17:19;Sequenciacao;1;8;31;GeometricosCL-Quadrado-Grande-BordaPreenchida-Vermelho;GeometricosCL-Quadrado-Grande-BordaPreenchida-Vermelho;1;Acertou;4;5
2;28/11/2018;15:17:26;Sequenciacao;1;8;31;GeometricosCL-Quadrado-Grande-BordaPreenchida-Vermelho;GeometricosCL-Quadrado-Grande-BordaPreenchida-Azul;2;Acertou;3;5
2;28/11/2018;15:17:31;Sequenciacao;1;8;31;GeometricosCL-Quadrado-Grande-BordaPreenchida-Vermelho;GeometricosCL-Quadrado-Grande-BordaPreenchida-Amarelo;1;Acertou;4;5
